"post_id","post_date","post_date_gmt","guid__rendered","post_modified","post_modified_gmt","slug","post_status","post_type","link","post_title","post_content","content__protected","post_excerpt","excerpt__protected","post_author","featured_media","comment_status","ping_status","sticky","template","format","meta__spay_email","meta__jetpack_publicize_message","categories__-","tags__001","tags__002","tags__003","tags__004","tags__005","tags__006","tags__007","tags__008","tags__009","jetpack_featured_media_url","jetpack_shortlink","_links__|","_links__|__name","_links__|__taxonomy","_links__|__id","_links__|__count","_links__|__embeddable","_links__|__href","_links__|__templated"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:attachment","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/media?parent=247517",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:term","","category","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/categories?post=247517",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","post_tag","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/tags?post=247517",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","curies","wp","","","","","https://api.w.org/{rel}","True"
"247515","2020-06-11T14:51:16","2020-06-11T19:51:16","https://fernandafamiliar.soy/?p=247515","2020-06-11T14:51:23","2020-06-11T19:51:23","empresarios-contra-incremento-en-tarifas-de-transmision-electrica","publish","post","https://fernandafamiliar.soy/noticias/nacional/empresarios-contra-incremento-en-tarifas-de-transmision-electrica/","Empresarios contra incremento en tarifas de transmisión eléctrica","<p>Empresarios mexicanos alertaron el jueves que el reciente incremento a las tarifas impuesto por las autoridades a los servicios de transmisión eléctrica en el sector de las renovables, que estimaron en entre un 500% y un 900%, va a ser difícil de soportar para las compañías del sector.</p><p>A finales de mayo la Comisión Reguladora de Energía (CRE) anunció el aumento de los precios y detalló que será aplicado a las firmas con contratos suscritos con la estatal Comisión Federal de Electricidad (CFE) previo a una profunda reforma energética realizada entre 2013 y 2014.</p><p>Antes, el Gobierno había desatado quejas por cambiar las reglas de juego cuando modificó un esquema que promueve la generación de energía limpia al permitir que también participen centrales hidroeléctricas viejas de la CFE. Varias compañías presentaron recursos legales contra la medida.</p><p>El jueves, el influyente Consejo Coordinador Empresarial (CCE), que ya había criticado esas acciones por vulnerar la seguridad jurídica en la segunda mayor economía de América Latina, dijo en un comunicado que la subida tarifaria es «ilegal e inadmisible» y advirtió que el sector productivo del país, industrial y comercial, sería el primero en recibir el impacto.</p><p>El CCE denunció que el alza de precios, bautizada como «electrolinazo», se ha dado «en un contexto de opacidad» y «no siguió el proceso de consulta pública y análisis costo-beneficio que manda la Ley Federal de Mejora Regulatoria, previo a aplicar los cambios regulatorios».</p><p>El presidente Andrés Manuel López Obrador reivindica un mayor papel del Estado en la política energética, al considerar que la reforma de hace poco más de un lustro, que abrió el sector a empresas privadas y fomentó el uso de energía verde, puso en desventaja a CFE y a la también estatal Petróleos Mexicanos (Pemex).<br><br><em>Información de Reuters</em></p>","False","<p>Empresarios mexicanos alertaron el jueves que el reciente incremento a las tarifas impuesto por las autoridades a los servicios de transmisión&#8230;</p>","False","85","226950","open","open","False","","standard","","","14153","1010","24890","3264","24891","182","24889","","","","https://fernandafamiliar.soy/wp-content/uploads/2019/03/CFE.jpg","https://wp.me/p794bQ-12ob","self","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247515",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","collection","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","about","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/types/post",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","author","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/users/85",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","replies","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/comments?post=247515",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","version-history","","","","1","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247515/revisions",""
